customer_id,generation_persona,preferred_category
C00001,Dormant,Dining
C00002,Engaged,Electronics
C00003,Normal,Dining
C00004,Engaged,Fuel
C00005,Dormant,Lifestyle
C00006,Normal,Electronics
C00007,Engaged,Grocery
C00008,Normal,Dining
C00009,Normal,Dining
C00010,Normal,Lifestyle
C00011,Dormant,Healthcare
C00012,Normal,Lifestyle
C00013,Normal,Healthcare
C00014,Normal,Dining
C00015,Normal,Healthcare
C00016,Engaged,Entertainment
C00017,Engaged,Electronics
C00018,Normal,Shopping
C00019,Normal,Electronics
C00020,Engaged,Healthcare
C00021,Normal,Lifestyle
C00022,Normal,Entertainment
C00023,Normal,Fuel
C00024,Engaged,Grocery
C00025,Normal,Entertainment
C00026,Engaged,Travel
C00027,Normal,Electronics
C00028,Engaged,Dining
C00029,Normal,Shopping
C00030,Normal,Electronics
C00031,Engaged,Lifestyle
C00032,Normal,Grocery
C00033,Normal,Lifestyle
C00034,Normal,Healthcare
C00035,Normal,Fuel
C00036,Normal,Healthcare
C00037,Normal,Shopping
C00038,Normal,Grocery
C00039,Normal,Travel
C00040,Normal,Entertainment
C00041,Normal,Electronics
C00042,Engaged,Lifestyle
C00043,Normal,Lifestyle
C00044,Engaged,Healthcare
C00045,Engaged,Grocery
C00046,Normal,Healthcare
C00047,Dormant,Dining
C00048,Engaged,Lifestyle
C00049,Normal,Travel
C00050,Normal,Shopping
C00051,Dormant,Lifestyle
C00052,Normal,Electronics
C00053,Engaged,Healthcare
C00054,Engaged,Electronics
C00055,Normal,Grocery
C00056,Engaged,Travel
C00057,Dormant,Lifestyle
C00058,Dormant,Grocery
C00059,Dormant,Electronics
C00060,Normal,Shopping
C00061,Normal,Lifestyle
C00062,Normal,Entertainment
C00063,Engaged,Travel
C00064,Normal,Travel
C00065,Engaged,Electronics
C00066,Normal,Electronics
C00067,Dormant,Travel
C00068,Dormant,Electronics
C00069,Normal,Lifestyle
C00070,Normal,Entertainment
C00071,Engaged,Lifestyle
C00072,Normal,Travel
C00073,Engaged,Shopping
C00074,Normal,Grocery
