dataset,defect_type,record_key,detail
customers,missing_value,C00548,income_band set null
customers,missing_value,C00668,income_band set null
customers,missing_value,C00997,income_band set null
customers,missing_value,C01138,income_band set null
customers,missing_value,C00420,income_band set null
customers,missing_value,C00405,income_band set null
customers,missing_value,C01112,income_band set null
customers,missing_value,C00880,income_band set null
customers,missing_value,C00923,income_band set null
customers,missing_value,C00491,income_band set null
customers,missing_value,C01454,income_band set null
customers,missing_value,C00868,income_band set null
customers,missing_value,C00694,income_band set null
customers,missing_value,C01179,income_band set null
customers,missing_value,C00213,income_band set null
customers,missing_value,C00282,income_band set null
customers,missing_value,C00841,income_band set null
customers,missing_value,C01326,income_band set null
customers,missing_value,C00498,income_band set null
customers,missing_value,C01226,income_band set null
customers,missing_value,C00043,income_band set null
customers,missing_value,C01025,income_band set null
customers,missing_value,C00050,income_band set null
customers,missing_value,C00482,income_band set null
customers,missing_value,C00454,income_band set null
customers,missing_value,C00034,income_band set null
customers,missing_value,C00879,income_band set null
customers,missing_value,C00490,income_band set null
customers,missing_value,C00812,income_band set null
customers,missing_value,C01057,income_band set null
customers,missing_value,C00678,income_band set null
customers,missing_value,C00431,income_band set null
customers,missing_value,C01002,income_band set null
customers,missing_value,C00132,income_band set null
customers,missing_value,C00663,income_band set null
customers,missing_value,C01185,income_band set null
customers,missing_value,C00865,income_band set null
transactions,missing_value,T00014986,city set null
transactions,missing_value,T00000525,city set null
transactions,missing_value,T00001337,city set null
transactions,missing_value,T00008610,city set null
transactions,missing_value,T00016155,city set null
transactions,missing_value,T00018285,city set null
transactions,missing_value,T00010531,city set null
transactions,missing_value,T00009725,city set null
transactions,missing_value,T00007767,city set null
transactions,missing_value,T00002767,city set null
transactions,missing_value,T00002357,city set null
transactions,missing_value,T00020111,city set null
transactions,missing_value,T00001262,city set null
transactions,missing_value,T00006624,city set null
transactions,missing_value,T00020536,city set null
transactions,missing_value,T00009568,city set null
transactions,missing_value,T00006578,city set null
transactions,missing_value,T00013321,city set null
transactions,missing_value,T00020955,city set null
transactions,missing_value,T00010387,city set null
transactions,missing_value,T00003453,city set null
transactions,missing_value,T00018353,city set null
transactions,missing_value,T00012572,city set null
transactions,missing_value,T00010077,city set null
transactions,missing_value,T00001249,city set null
transactions,missing_value,T00007535,city set null
transactions,missing_value,T00021468,city set null
transactions,missing_value,T00008449,city set null
transactions,missing_value,T00005074,city set null
transactions,missing_value,T00019956,city set null
transactions,missing_value,T00008327,city set null
transactions,missing_value,T00019427,city set null
transactions,missing_value,T00003447,city set null
transactions,missing_value,T00005242,city set null
transactions,missing_value,T00010732,city set null
transactions,missing_value,T00005293,city set null
transactions,missing_value,T00018013,city set null
transactions,missing_value,T00011153,city set null
transactions,missing_value,T00002159,city set null
transactions,missing_value,T00001653,city set null
transactions,missing_value,T00021200,city set null
transactions,missing_value,T00003903,city set null
transactions,missing_value,T00016451,city set null
transactions,missing_value,T00017477,city set null
transactions,missing_value,T00012373,city set null
transactions,missing_value,T00018810,city set null
transactions,missing_value,T00015496,city set null
transactions,missing_value,T00014639,city set null
transactions,missing_value,T00011470,city set null
transactions,missing_value,T00007922,city set null
transactions,missing_value,T00001291,city set null
transactions,missing_value,T00010504,city set null
transactions,missing_value,T00011677,city set null
transactions,missing_value,T00017201,city set null
transactions,missing_value,T00007425,city set null
transactions,missing_value,T00020142,city set null
transactions,missing_value,T00008085,city set null
transactions,missing_value,T00011245,city set null
transactions,missing_value,T00018264,city set null
transactions,missing_value,T00015561,city set null
transactions,missing_value,T00005711,city set null
transactions,missing_value,T00001754,city set null
transactions,missing_value,T00015912,city set null
transactions,missing_value,T00019406,city set null
transactions,missing_value,T00003950,city set null
transactions,missing_value,T00010042,city set null
transactions,missing_value,T00004882,city set null
transactions,missing_value,T00000855,city set null
transactions,missing_value,T00012268,city set null
transactions,missing_value,T00010031,city set null
transactions,missing_value,T00009611,city set null
transactions,missing_value,T00013440,city set null
transactions,missing_value,T00017586,city set null
transactions,missing_value,T00006542,city set null
transactions,missing_value,T00014507,city set null
transactions,missing_value,T00000160,city set null
transactions,missing_value,T00011326,city set null
transactions,missing_value,T00008142,city set null
transactions,missing_value,T00001389,city set null
transactions,missing_value,T00021818,city set null
transactions,missing_value,T00018621,city set null
transactions,missing_value,T00002377,city set null
transactions,missing_value,T00013677,city set null
transactions,missing_value,T00018595,city set null
transactions,missing_value,T00019845,city set null
transactions,missing_value,T00018655,city set null
transactions,missing_value,T00009660,city set null
transactions,missing_value,T00000435,city set null
transactions,missing_value,T00019597,city set null
transactions,missing_value,T00010285,city set null
transactions,missing_value,T00005672,city set null
transactions,missing_value,T00014261,city set null
transactions,missing_value,T00006297,city set null
transactions,missing_value,T00016337,city set null
transactions,missing_value,T00009597,city set null
transactions,missing_value,T00002182,city set null
transactions,missing_value,T00014141,city set null
transactions,missing_value,T00016265,city set null
transactions,missing_value,T00011780,city set null
transactions,missing_value,T00003369,city set null
transactions,missing_value,T00020517,city set null
transactions,missing_value,T00007338,city set null
transactions,missing_value,T00014719,city set null
transactions,missing_value,T00014788,city set null
transactions,missing_value,T00011109,city set null
transactions,missing_value,T00014140,city set null
transactions,missing_value,T00009405,city set null
transactions,missing_value,T00002430,city set null
transactions,missing_value,T00006011,city set null
transactions,missing_value,T00013533,city set null
transactions,missing_value,T00011151,city set null
transactions,missing_value,T00011106,city set null
transactions,missing_value,T00017319,city set null
transactions,missing_value,T00005389,city set null
transactions,missing_value,T00012083,city set null
transactions,missing_value,T00004633,city set null
transactions,missing_value,T00019700,city set null
transactions,missing_value,T00010937,city set null
transactions,missing_value,T00020151,city set null
transactions,missing_value,T00004480,city set null
transactions,missing_value,T00012573,city set null
transactions,missing_value,T00021249,city set null
transactions,missing_value,T00001164,city set null
transactions,missing_value,T00021258,city set null
transactions,missing_value,T00018040,city set null
transactions,missing_value,T00010084,city set null
transactions,missing_value,T00015050,city set null
transactions,missing_value,T00000082,city set null
transactions,missing_value,T00019293,city set null
transactions,missing_value,T00006453,city set null
transactions,missing_value,T00012675,city set null
transactions,missing_value,T00016577,city set null
transactions,missing_value,T00001509,city set null
transactions,missing_value,T00015302,city set null
transactions,missing_value,T00003616,city set null
transactions,missing_value,T00018626,city set null
transactions,missing_value,T00013761,city set null
transactions,missing_value,T00014192,city set null
transactions,missing_value,T00000769,city set null
transactions,missing_value,T00011685,city set null
transactions,missing_value,T00012306,city set null
transactions,missing_value,T00005272,city set null
transactions,missing_value,T00021757,city set null
transactions,missing_value,T00010354,city set null
transactions,missing_value,T00005533,city set null
transactions,missing_value,T00010819,city set null
transactions,missing_value,T00010642,city set null
transactions,missing_value,T00020727,city set null
transactions,missing_value,T00017785,city set null
transactions,missing_value,T00009602,city set null
transactions,missing_value,T00001101,city set null
transactions,missing_value,T00020764,city set null
transactions,missing_value,T00004214,city set null
transactions,missing_value,T00012211,city set null
transactions,missing_value,T00006231,city set null
transactions,missing_value,T00021146,city set null
transactions,missing_value,T00018577,city set null
transactions,missing_value,T00013912,city set null
transactions,missing_value,T00009464,city set null
transactions,missing_value,T00004727,city set null
transactions,missing_value,T00012947,city set null
transactions,missing_value,T00000113,city set null
transactions,missing_value,T00018148,city set null
transactions,missing_value,T00004925,city set null
transactions,missing_value,T00002178,city set null
transactions,missing_value,T00017079,city set null
transactions,missing_value,T00001115,city set null
transactions,missing_value,T00018330,city set null
transactions,missing_value,T00008860,city set null
transactions,missing_value,T00009424,city set null
transactions,missing_value,T00017162,city set null
transactions,missing_value,T00012311,city set null
transactions,missing_value,T00017937,city set null
transactions,missing_value,T00000667,city set null
transactions,missing_value,T00015278,city set null
transactions,missing_value,T00016735,city set null
transactions,missing_value,T00015913,city set null
transactions,missing_value,T00015312,city set null
transactions,missing_value,T00011816,city set null
transactions,missing_value,T00016717,city set null
transactions,missing_value,T00014162,city set null
transactions,missing_value,T00002858,city set null
transactions,missing_value,T00006948,city set null
transactions,missing_value,T00018248,city set null
transactions,missing_value,T00013330,city set null
transactions,missing_value,T00005660,city set null
transactions,missing_value,T00021084,city set null
transactions,missing_value,T00008827,city set null
transactions,missing_value,T00001593,city set null
transactions,missing_value,T00021159,city set null
transactions,missing_value,T00007833,city set null
transactions,missing_value,T00018404,city set null
transactions,missing_value,T00021367,city set null
transactions,missing_value,T00018269,city set null
transactions,missing_value,T00005327,city set null
transactions,missing_value,T00005618,city set null
transactions,missing_value,T00000634,city set null
transactions,missing_value,T00012987,city set null
transactions,missing_value,T00012835,city set null
transactions,missing_value,T00008583,city set null
transactions,missing_value,T00005763,city set null
transactions,missing_value,T00007925,city set null
transactions,missing_value,T00010510,city set null
transactions,missing_value,T00020719,city set null
transactions,missing_value,T00002369,city set null
transactions,missing_value,T00020625,city set null
transactions,missing_value,T00005613,city set null
transactions,missing_value,T00016876,city set null
transactions,missing_value,T00020174,city set null
transactions,missing_value,T00002969,city set null
transactions,missing_value,T00001252,city set null
transactions,missing_value,T00015294,city set null
transactions,missing_value,T00007914,city set null
transactions,missing_value,T00014895,city set null
transactions,missing_value,T00020963,city set null
transactions,missing_value,T00004724,city set null
transactions,missing_value,T00000746,city set null
transactions,missing_value,T00004665,city set null
transactions,missing_value,T00012007,city set null
transactions,missing_value,T00016491,city set null
transactions,missing_value,T00018206,city set null
transactions,missing_value,T00009794,city set null
transactions,missing_value,T00016085,city set null
transactions,missing_value,T00015647,city set null
transactions,missing_value,T00013894,city set null
transactions,missing_value,T00007930,city set null
transactions,missing_value,T00005463,city set null
transactions,missing_value,T00012401,city set null
transactions,missing_value,T00003028,city set null
transactions,missing_value,T00014894,city set null
transactions,missing_value,T00012168,city set null
transactions,missing_value,T00014574,city set null
transactions,missing_value,T00008990,city set null
transactions,missing_value,T00004557,city set null
transactions,missing_value,T00003604,city set null
transactions,missing_value,T00008030,city set null
transactions,missing_value,T00005239,city set null
transactions,missing_value,T00005544,city set null
transactions,missing_value,T00010604,city set null
transactions,missing_value,T00008044,city set null
transactions,missing_value,T00007154,city set null
transactions,missing_value,T00021616,city set null
transactions,missing_value,T00013616,city set null
transactions,missing_value,T00018754,city set null
transactions,missing_value,T00020665,city set null
transactions,missing_value,T00012938,city set null
transactions,missing_value,T00018021,city set null
transactions,missing_value,T00021376,city set null
transactions,missing_value,T00011067,city set null
transactions,missing_value,T00015619,city set null
transactions,missing_value,T00012673,city set null
transactions,missing_value,T00005453,city set null
transactions,missing_value,T00010394,city set null
transactions,missing_value,T00020143,city set null
transactions,missing_value,T00021966,city set null
transactions,missing_value,T00010584,city set null
transactions,missing_value,T00009776,city set null
transactions,missing_value,T00016967,city set null
transactions,missing_value,T00001390,city set null
transactions,missing_value,T00010243,city set null
transactions,missing_value,T00017462,city set null
transactions,missing_value,T00017579,city set null
transactions,missing_value,T00010130,city set null
transactions,missing_value,T00008886,city set null
transactions,missing_value,T00003623,city set null
transactions,missing_value,T00006289,city set null
transactions,missing_value,T00014452,city set null
transactions,missing_value,T00016751,city set null
transactions,missing_value,T00015715,city set null
transactions,missing_value,T00000353,city set null
transactions,missing_value,T00021827,city set null
transactions,missing_value,T00012344,city set null
transactions,missing_value,T00001068,city set null
transactions,missing_value,T00008820,city set null
transactions,missing_value,T00005750,city set null
transactions,missing_value,T00020970,city set null
transactions,missing_value,T00020654,city set null
transactions,missing_value,T00004881,city set null
transactions,missing_value,T00017206,city set null
transactions,missing_value,T00008511,city set null
transactions,missing_value,T00014371,city set null
transactions,missing_value,T00004142,city set null
transactions,missing_value,T00020920,city set null
transactions,missing_value,T00010034,city set null
transactions,missing_value,T00000586,city set null
transactions,missing_value,T00006458,city set null
transactions,missing_value,T00016268,city set null
transactions,missing_value,T00014083,city set null
transactions,missing_value,T00010242,city set null
transactions,missing_value,T00014918,city set null
transactions,missing_value,T00013419,city set null
transactions,missing_value,T00003811,city set null
transactions,missing_value,T00001265,city set null
transactions,missing_value,T00005126,city set null
transactions,missing_value,T00001338,city set null
transactions,missing_value,T00010334,city set null
transactions,missing_value,T00005006,city set null
transactions,missing_value,T00017563,city set null
transactions,missing_value,T00000833,city set null
transactions,missing_value,T00021902,city set null
transactions,missing_value,T00011742,city set null
transactions,missing_value,T00015587,city set null
transactions,missing_value,T00015894,city set null
transactions,missing_value,T00000751,city set null
transactions,missing_value,T00002288,city set null
transactions,missing_value,T00012710,city set null
transactions,missing_value,T00012559,city set null
transactions,missing_value,T00015753,city set null
transactions,missing_value,T00007527,city set null
